Name,Span,Innings,BowlingAverage
JM Anderson (ENG),2002-2022,539,27.08
GD McGrath (AUS/ICC),1993-2007,493,21.76
Wasim Akram (PAK),1984-2003,532,23.57
SM Pollock (Afr/ICC/SA),1995-2008,510,23.73
SCJ Broad (ENG),2006-2022,469,27.90
Waqar Younis (PAK),1989-2003,412,23.70
WPUJC Vaas (Asia/SL),1994-2009,520,28.44
CA Walsh (WI),1984-2001,446,26.28
B Lee (AUS),1999-2012,392,26.66
DW Steyn (Afr/SA),2004-2020,342,23.37
TG Southee (NZ),2008-2022,420,29.37
M Ntini (ICC/SA),1998-2011,371,27.33
CEL Ambrose (WI),1988-2000,354,22.11
Z Khan (Asia/IND),2000-2014,379,31.14
AA Donald (SA),1991-2003,291,22.04
N Kapil Dev (IND),1980-1994,402,28.88
MG Johnson (AUS),2005-2015,320,26.65
MA Starc (AUS),2010-2022,307,24.84
TA Boult (NZ),2011-2022,303,25.68
JH Kallis (Afr/ICC/SA),1995-2014,574,32.14
J Srinath (IND),1991-2003,348,29.11
SL Malinga (SL),2004-2020,362,28.08
M Morkel (Afr/SA/World),2006-2018,318,26.65
MD Marshall (WI),1980-1992,281,22.34
CJ McDermott (AUS),1984-1996,262,27.02
D Gough (ENG/ICC),1994-2006,253,27.32
Sir RJ Hadlee (NZ),1980-1990,198,19.83
K Rabada (SA),2014-2022,241,24.68
HH Streak (Afr/ZIM),1993-2005,287,29.02
Shoaib Akhtar (Asia/ICC/PAK),1997-2011,259,25.16
I Sharma (IND),2007-2021,280,32.35
Imran Khan (PAK),1980-1992,238,22.23
Umar Gul (PAK),2003-2016,278,28.68
CL Cairns (ICC/NZ),1989-2006,292,31.08
JN Gillespie (AUS),1996-2006,234,25.94
A Flintoff (ENG/ICC),1998-2009,263,29.23
Mohammed Shami (IND),2013-2022,218,26.91
Mashrafe Mortaza (Asia/BAN),2001-2020,324,35.02
Abdul Razzaq (Asia/PAK),1996-2013,352,32.52
PJ Cummins (AUS),2011-2022,209,23.70
KAJ Roach (WI),2008-2022,238,28.48
IT Botham (ENG),1980-1992,221,31.41
JR Hazlewood (AUS),2010-2022,218,25.13
DJ Bravo (WI),2004-2021,288,31.22
AB Agarkar (IND),1998-2007,237,31.09
JO Holder (WI),2013-2022,275,32.07
J Garner (WI),1980-1987,180,19.89
KD Mills (NZ),2001-2015,242,28.03
JJ Bumrah (IND),2016-2022,189,22.48
CR Woakes (ENG),2011-2022,215,29.76
KMDN Kulasekara (SL),2003-2017,277,32.18
MA Holding (WI),1980-1987,174,22.42
CRD Fernando (Asia/SL),2000-2016,227,32.44
AR Caddick (ENG),1993-2003,158,29.58
SJ Harmison (ENG/ICC),2002-2009,174,32.06
IK Pathan (IND),2003-2012,195,29.85
B Kumar (IND),2012-2022,243,29.50
BA Stokes (ENG),2011-2022,264,34.70
BKV Prasad (IND),1994-2001,218,33.19
JE Taylor (WI),2003-2018,196,31.35
SR Watson (AUS),2002-2016,305,31.11
RAS Lakmal (SL),2009-2022,217,35.05
SR Waugh (AUS),1985-2004,357,35.56
DK Morrison (NZ),1987-1997,171,31.53
MJ Hoggard (ENG),2000-2008,148,31.12
IR Bishop (WI),1988-1998,159,25.21
UT Yadav (IND),2010-2022,186,31.55
L Klusener (SA),1996-2004,248,32.29
Mustafizur Rahman (BAN),2015-2022,183,24.67
VD Philander (SA),2007-2020,153,22.67
GF Lawson (AUS),1980-1989,157,30.19
M Dillon (WI),1997-2005,173,33.01
SE Bond (NZ),2001-2010,132,21.37
Mohammad Amir (PAK),2009-2020,177,28.14
TM Alderman (AUS),1981-1991,138,25.86
CS Martin (NZ),2000-2013,151,34.39
PAJ DeFreitas (ENG),1986-1997,179,33.23
EJ Chatfield (NZ),1980-1989,177,27.74
ST Finn (ENG),2010-2017,154,29.05
M Prabhakar (IND),1984-1996,195,32.07
JDP Oram (NZ),2001-2012,241,31.04
MG Hughes (AUS),1985-1994,130,28.52
DK Lillee (AUS),1980-1984,112,22.83
N Wagner (NZ),2012-2022,112,26.71
FH Edwards (WI),2003-2021,172,35.42
PM Siddle (AUS),2008-2019,147,31.44
NLTC Perera (ICC/SL/World),2009-2021,232,34.21
Wahab Riaz (PAK),2008-2020,174,33.55
Aaqib Javed (PAK),1988-1998,196,32.18
A Nehra (Asia/IND),1999-2017,176,32.36
A Nel (SA),2001-2008,147,29.85
Hasan Ali (PAK),2016-2022,147,26.61
Mohammad Sami (PAK),2001-2016,164,37.16
ARC Fraser (ENG),1989-1999,121,27.89
CZ Harris (NZ),1990-2004,261,40.10
Shaheen Shah Afridi (PAK),2018-2022,120,23.92
PR Reiffel (AUS),1992-1999,159,28.09
DW Fleming (AUS),1994-2001,126,25.56
DJG Sammy (WI/World),2004-2017,243,38.15
NW Bracken (AUS),2001-2009,145,25.28
