Name,Span,Innings,SpinnerAverage
M Muralidaran (Asia/ICC/SL),1992-2011,583,22.86
SK Warne (AUS/ICC),1992-2007,464,25.51
A Kumble (Asia/IND),1990-2008,501,30.09
Harbhajan Singh (Asia/IND),1998-2016,444,32.54
DL Vettori (ICC/NZ),1997-2015,498,32.42
R Ashwin (IND),2010-2022,340,26.28
Shakib Al Hasan (BAN),2006-2022,435,28.33
Shahid Afridi (Asia/ICC/PAK),1996-2018,516,32.78
HMRKB Herath (SL),1999-2018,254,28.36
Saqlain Mushtaq (PAK),1995-2004,251,25.16
NM Lyon (AUS),2011-2022,244,32.46
RA Jadeja (IND),2009-2022,342,30.07
Saeed Ajmal (PAK),2008-2015,242,23.93
ST Jayasuriya (Asia/SL),1989-2011,532,35.66
GP Swann (ENG),2000-2013,223,27.77
Abdul Qadir (PAK),1980-1993,202,30.27
Mushtaq Ahmed (PAK),1989-2003,231,33.12
MM Ali (ENG),2014-2022,280,39.23
AU Rashid (ENG),2009-2022,235,32.15
Rashid Khan (AFG/ICC),2015-2022,164,17.36
CL Hooper (WI),1987-2003,348,41.01
Imran Tahir (SA/World),2011-2019,179,25.73
BAW Mendis (SL),2008-2015,154,23.29
RJ Shastri (IND),1981-1992,261,38.69
Abdur Razzak (BAN),2004-2018,205,30.73
Danish Kaneria (PAK),2000-2010,130,35.38
Yasir Shah (PAK),2011-2022,115,33.00
CH Gayle (ICC/WI),1999-2021,333,36.48
Mohammad Hafeez (PAK),2003-2021,333,33.97
Mohammad Nabi (AFG),2009-2022,236,30.75
Mehidy Hasan Miraz (BAN),2016-2022,146,34.49
Mohammad Rafique (Asia/BAN),1995-2008,173,39.10
Shoaib Malik (ICC/PAK),1999-2021,309,38.46
MJ Santner (NZ),2015-2022,201,32.32
SCG MacGill (AUS),1998-2008,88,28.70
AG Cremer (ZIM),2005-2018,150,32.51
A Zampa (AUS),2016-2022,147,25.94
HDPK Dharmasena (SL),1993-2004,187,38.25
YS Chahal (IND),2016-2022,137,26.03
JE Emburey (ENG),1980-1995,154,37.29
KA Maharaj (SA),2016-2022,129,31.17
SR Tendulkar (IND),1989-2013,416,46.53
IS Sodhi (NZ),2013-2022,153,30.62
AF Giles (ENG),1997-2006,145,39.77
N Boje (Afr/SA),1995-2006,181,39.12
Kuldeep Yadav (IND),2017-2022,109,23.93
MS Panesar (ENG),2006-2013,112,35.32
RW Price (ZIM),1999-2013,150,35.43
UDU Chandana (SL),1994-2007,165,33.79
Taijul Islam (BAN),2014-2022,82,32.44
Shadab Khan (PAK),2017-2022,142,26.55
GB Hogg (AUS),1996-2014,141,30.52
MDK Perera (SL),2007-2021,91,35.37
GH Dockrell (IRE),2010-2022,176,30.61
P Utseya (ZIM),2004-2015,201,44.42
PA Strang (ZIM),1994-2001,127,34.30
SP Narine (WI),2011-2019,125,26.61
PR Adams (SA),1995-2004,99,32.02
Mahmudullah (BAN),2007-2022,282,40.99
D Bishoo (WI),2011-2019,106,37.99
A Mishra (IND),2003-2017,84,28.62
SLV Raju (IND),1990-2001,103,31.22
TM Dilshan (SL),1999-2016,305,44.16
S Lamichhane (ICC/NEPAL),2018-2022,73,13.91
Maninder Singh (IND),1982-1993,109,34.76
MN Samuels (WI),2000-2018,233,47.32
Tauseef Ahmed (PAK),1980-1993,125,35.11
Yuvraj Singh (Asia/IND),2000-2017,227,36.08
RA Harper (WI),1983-1996,138,32.34
SJ Benn (WI),2008-2016,112,41.11
PP Ojha (IND),2008-2013,71,29.19
Sikandar Raza (ZIM),2013-2022,175,39.28
SC Williams (ZIM),2005-2022,205,42.89
Abdur Rehman (PAK),2006-2014,82,30.31
Iqbal Qasim (PAK),1980-1988,67,26.27
PCR Tufnell (ENG),1990-2001,90,37.56
RJ Peterson (SA),2002-2014,120,33.18
V Sehwag (Asia/ICC/IND),1999-2013,238,42.40
JG Bracewell (NZ),1980-1990,117,41.01
PA de Silva (SL),1984-2003,214,39.88
AR Patel (IND),2014-2022,93,23.25
JP Duminy (SA),2004-2019,233,40.47
JS Patel (NZ),2005-2017,94,38.75
PWH de Silva (SL),2017-2022,90,23.30
GW Flower (ZIM),1992-2010,216,44.66
Mujeeb Ur Rahman (AFG),2017-2022,91,22.20
T Shamsi (SA),2016-2022,99,27.37
NM Hauritz (AUS),2002-2011,91,34.39
MRJ Watt (SCOT),2015-2022,99,23.85
J Botha (Afr/SA),2005-2012,124,34.22
PL Taylor (AUS),1987-1992,101,30.70
NL McCullum (NZ),2007-2016,140,34.99
Rohan Mustafa (UAE),2014-2022,109,27.02
DN Patel (NZ),1987-1997,122,45.12
GRJ Matthews (AUS),1983-1993,101,41.91
A Dananjaya (SL),2012-2021,80,28.96
PM Seelaar (NED),2006-2022,121,28.90
TBA May (AUS),1987-1995,91,38.40
Aamer Sohail (PAK),1990-2000,171,43.20
SB Joshi (IND),1996-2001,93,36.17
